Sample	Location	Floor	Type	Indoor.Outdoor	Air.out	Material	Temperature	Humidness	RNA	Notes	DNARNA	SampleName	Date	Month	Building	SampleName2	SampleSite	SampleSite2	SampleSite3	Season	SeasonBymonth	Group
231123_18B	SD234	2	Corridor	Indoor	no	plastic	21.3	42.5	No	Very black	DNA	231123_18B	231123	2311	SD	231123_18B-SD234	18B	2311-18B	11-18B	Autumn	Autumn	Aboveground
231123_19B	SC221	2	Common room	Indoor	no	metal	21.8	43.5	No		DNA	231123_19B	231123	2311	SC	231123_19B-SC221	19B	2311-19B	11-19B	Autumn	Autumn	Aboveground
231123_1B	SAb1 SA084 left side	b1	Corridor	Indoor	no	metal	21.1	39.5	No		DNA	231123_1B	231123	2311	SA	231123_1B-SAb1 SA084 left side	1B	2311-1B	11-1B	Autumn	Autumn	Underground
231123_20B	SB123	2	Classroom	Indoor	no	metal	22.9	42.9	No		DNA	231123_20B	231123	2311	SB	231123_20B-SB123	20B	2311-20B	11-20B	Autumn	Autumn	Aboveground
231123_21B	SA521	5	Common room	Indoor	no	metal	22.7	42.2	No		DNA	231123_21B	231123	2311	SA	231123_21B-SA521	21B	2311-21B	11-21B	Autumn	Autumn	Aboveground
231123_22B	SA434	4	Laboratory	Indoor	no	metal	22.5	42.2	No		DNA	231123_22B	231123	2311	SA	231123_22B-SA434	22B	2311-22B	11-22B	Autumn	Autumn	Aboveground
231123_2B	SAb1 SA074	b1	Toilet (Male)	Indoor	yes	metal	20.6	39.8	No		DNA	231123_2B	231123	2311	SA	231123_2B-SAb1 SA074	2B	2311-2B	11-2B	Autumn	Autumn	Underground
231123_3B	SAb1 SA080	b1	Toilet (Female)	Indoor	yes	metal	20.6	40.3	No		DNA	231123_3B	231123	2311	SA	231123_3B-SAb1 SA080	3B	2311-3B	11-3B	Autumn	Autumn	Underground
231123_5B	SAb1 SA089 (front)	b1	Corridor	Indoor	no	metal	20.9	40.8	No		DNA	231123_5B	231123	2311	SA	231123_5B-SAb1 SA089 (front)	5B	2311-5B	11-5B	Autumn	Autumn	Underground
231123_6B	SAb1	b1	Corridor	Indoor	no	metal	21.4	40.9	No		DNA	231123_6B	231123	2311	SA	231123_6B-SAb1	6B	2311-6B	11-6B	Autumn	Autumn	Underground
231123_7B	SBb1 (in front of elevator)	b1	Corridor	Indoor	no	metal	21.2	40.6	No		DNA	231123_7B	231123	2311	SB	231123_7B-SBb1 (in front of elevator)	7B	2311-7B	11-7B	Autumn	Autumn	Underground
